AR0IVTL1187B9AD520,SOAFQGA12A8C1367FA,I'm Still Breathing,228.49261,2008
AR7SPB81187B9A068F,SOSJVCA12A8C139501,Ubangi Stomp,195.05587,1981
ARFCUN31187B9AD578,SONQBUB12A6D4F8ED0,Angie (1993 Digital Remaster),271.49016,0
ARY65231187FB46283,SOVXAXI12A8C1383D9,Don't Go,367.62077,2007
AR8WV031187FB3F903,SOTDKGV12AB017E39A,Why,190.17098,2009
ARS54I31187FB46721,SOTNWCI12AAF3B2028,The Way I Loved You,245.36771,2008
ARQUMH41187B9AF699,SOWEUOO12A6D4F6D0C,Given Up (Album Version),189.28281,2007
ART0ETO1187B9AB519,SOVOZSC12A8C144E73,Magic,188.60363,2006
ARCEXLE1187FB3A93E,SONQWXY12A81C204D7,O Xote Das Meninas/Asa Branca/Hino A Sao Jose,290.95138,0
ARS8GNX1187B9B5141,SOQTPLM12B0B809575,Strange Times,238.62812,2008
ARI75KH1187FB4C77C,SONEGWF12A8C133022,Our Filmscore,163.65669,2006
ARW19E01187B9AEB8D,SORWNSF12A6D4FCCA7,At Least It's Raining,190.82404,2003
ARPBMSQ1187B98AE69,SOAHVKA12A8C146C5F,Where The Wild Things Were,458.31791,1996
ARPFHN61187FB575F6,SOGXSWA12A6D4FBC99,Fighters (feat. Matthew Santos) (Amended Album Version),213.34159,0
ARVRAUT1187FB39AFB,SOKXJKN12A6D4F86D5,En Lo Puro No Hay Futuro,205.08689,2001
ARWAQTR1187FB38810,SOQHFWA12AAA8C6662,Engel,264.22812,1997
AR3WLE91187B99430A,SOZARNI12A67020744,Everything Changes (Album Version),239.5424,2005
AROF4LP1187FB41C51,SOQSYGY12A8C137E0F,Como La Flor (2005 Re-mastering) (Live),329.58649,0
ARNLO5S1187B9B80CC,SOLRYQR12A670215BF,Panama (Remastered Album Version),209.29261,0
AR32RXI1187B9BA168,SOHZDYL12A8C141C73,My Perfect Cousin,156.36853,1980
ART7Q0O1187B9A79FA,SOEHGER12A8AE47DB2,One Way Or Another,222.64118,2007
ARJ7KF01187B98D717,SOUCKDH12A8C138FF5,Don't Panic,139.12771,1999
AR1W00P1187B9A3A3D,SOOHAFT12A8AE47FC0,Know it All,238.99383,0
ARYE9E71187B9AA1B3,SOCDOVE12AB01808DE,Handlebars (UK Radio Edit),205.68771,2008
ARMNFB41187B9AD2DC,SOAUKIS12A58A7F424,Timebomb (LP Version),188.73424,0
ARD46C811C8A414F3F,SOARUPP12AB01842E0,Up Up & Away,227.34322,2009
